Category,Source_1,Source_2
business,https://www.kaggle.com/sainijagjit/bbc-dataset,https://www.kaggle.com/louislung/uci-news-aggregator-dataset-with-content
entertainment,https://www.kaggle.com/sainijagjit/bbc-dataset,https://www.kaggle.com/louislung/uci-news-aggregator-dataset-with-content
medical,https://www.kaggle.com/tboyle10/medicaltranscriptions,https://www.kaggle.com/louislung/uci-news-aggregator-dataset-with-content
sport,https://www.kaggle.com/sainijagjit/bbc-dataset,https://www.kaggle.com/rmisra/news-category-dataset
tech,https://www.kaggle.com/sainijagjit/bbc-dataset,https://www.kaggle.com/louislung/uci-news-aggregator-dataset-with-content
